frame,raw_tracker_id,track_id,display_track_id,class_id,conf,x1,y1,x2,y2,x_m,y_m,team_id,homography_ok,kp_used,inlier_ratio,reproj_err,detector_ran,homography_state,ball_interpolated
0,1,1,1,2,0.9593045711517334,1034.0,681.0,1107.0,856.0,5994.81640625,5166.97607421875,-1,True,5,1.0,0.0,1,ok,0
0,2,2,2,2,0.9592542052268982,1579.0,344.0,1630.0,451.0,6912.17626953125,2921.05810546875,-1,True,5,1.0,0.0,1,ok,0
0,3,3,3,2,0.9559980034828186,1654.0,408.0,1707.0,533.0,6891.83837890625,3637.068115234375,-1,True,5,1.0,0.0,1,ok,0
0,4,4,4,2,0.9500601887702942,473.0,366.0,525.0,479.0,5195.216796875,3190.107421875,-1,True,5,1.0,0.0,1,ok,0
0,5,5,5,2,0.9394777417182922,1698.0,235.0,1734.0,318.0,7512.369140625,1088.23681640625,-1,True,5,1.0,0.0,1,ok,0
0,6,6,6,2,0.93568354845047,620.0,254.0,654.0,346.0,5224.35498046875,1719.4512939453125,-1,True,5,1.0,0.0,1,ok,0
0,7,7,7,2,0.9220187664031982,9.0,255.0,52.0,348.0,4169.92236328125,1817.5491943359375,-1,True,5,1.0,0.0,1,ok,0
0,8,8,8,2,0.9194841980934143,1005.0,925.0,1079.0,1080.0,5964.8779296875,5732.775390625,-1,True,5,1.0,0.0,1,ok,0
0,9,9,9,2,0.9147986173629761,52.0,672.0,120.0,846.0,5130.83251953125,5062.34375,-1,True,5,1.0,0.0,1,ok,0
0,10,10,10,2,0.9119864106178284,1459.0,618.0,1515.0,797.0,6406.4326171875,5000.73388671875,-1,True,5,1.0,0.0,1,ok,0
0,11,11,11,2,0.9031763672828674,760.0,492.0,808.0,638.0,5677.1181640625,4259.9521484375,-1,True,5,1.0,0.0,1,ok,0
0,12,12,12,2,0.897382915019989,991.0,400.0,1033.0,521.0,5939.38671875,3530.768798828125,-1,True,5,1.0,0.0,1,ok,0
0,13,13,13,2,0.8701162338256836,193.0,450.0,231.0,580.0,4966.53515625,3906.00732421875,-1,True,5,1.0,0.0,1,ok,0
0,14,14,14,2,0.8594513535499573,979.0,275.0,1023.0,401.0,5918.3857421875,2400.690185546875,-1,True,5,1.0,0.0,1,ok,0
0,15,15,15,2,0.8314222097396851,1018.0,192.0,1042.0,263.0,5977.4365234375,132.0382843017578,-1,True,5,1.0,0.0,1,ok,0
0,16,16,16,2,0.6947360634803772,230.0,186.0,254.0,253.0,4159.85888671875,158.59033203125,-1,True,5,1.0,0.0,1,ok,0
0,-1,-1,-1,0,0.32432231307029724,982.0,288.0,1017.0,322.0,5909.72705078125,1294.54638671875,-1,True,5,1.0,0.0,1,ok,0
1,1,1,1,2,0.9594983458518982,1034.11328125,680.1296997070312,1107.9813232421875,855.9937744140625,6008.73681640625,5183.7333984375,-1,True,5,1.0,0.0,1,ok,0
1,2,2,2,2,0.9606123566627502,1579.1007080078125,343.9986877441406,1630.1007080078125,450.9963684082031,6917.4013671875,2943.0888671875,-1,True,5,1.0,0.0,1,ok,0
1,3,3,3,2,0.9538804888725281,1650.62890625,407.1289978027344,1702.7613525390625,532.1262817382812,6893.5869140625,3650.8408203125,-1,True,5,1.0,0.0,1,ok,0
1,4,4,4,2,0.9510655999183655,473.9882507324219,366.008056640625,525.1205444335938,479.00555419921875,5199.98583984375,3222.387939453125,-1,True,5,1.0,0.0,1,ok,0
1,5,5,5,2,0.9436846375465393,1697.2298583984375,234.9995574951172,1733.22998046875,317.9977722167969,7514.2197265625,1101.557373046875,-1,True,5,1.0,0.0,1,ok,0
1,6,6,6,2,0.9417480826377869,619.2492065429688,254.00865173339844,654.1171264648438,346.00677490234375,5219.39697265625,1743.559814453125,-1,True,5,1.0,0.0,1,ok,0
1,7,7,7,2,0.9294683337211609,8.260032653808594,255.0140380859375,52.99555206298828,347.144287109375,4151.99658203125,1834.1910400390625,-1,True,5,1.0,0.0,1,ok,0
1,8,8,8,2,0.9203851819038391,1005.9837036132812,924.9934692382812,1078.248291015625,1079.989990234375,5980.61376953125,5743.013671875,-1,True,5,1.0,0.0,1,ok,0
