frame,track_id,display_track_id,class_id,conf,x1,y1,x2,y2,team_id,notes
0,0,0,2,1.0,442.73,717.82,477.71,799.72,-1,cvat_keyframe
0,1,1,2,1.0,687.1,618.22,715.43,685.06,-1,cvat_keyframe
0,2,2,2,1.0,626.89,591.21,653.01,656.73,-1,cvat_keyframe
0,3,3,2,1.0,355.08,580.1,382.23,645.66,-1,cvat_keyframe
0,4,4,2,1.0,513.36,531.95,539.48,587.27,-1,cvat_keyframe
0,5,5,2,1.0,436.52,482.78,454.96,530.92,-1,cvat_keyframe
0,6,6,2,1.0,499.01,431.56,514.89,473.56,-1,cvat_keyframe
0,7,7,2,1.0,745.39,426.43,759.73,465.36,-1,cvat_keyframe
0,8,8,2,1.0,775.61,523.75,807.36,581.12,-1,cvat_keyframe
0,9,9,2,1.0,612.21,518.63,639.87,578.05,-1,cvat_keyframe
0,10,10,2,1.0,932.34,472.02,955.9,519.14,-1,cvat_keyframe
0,11,11,2,1.0,1123.39,478.68,1137.74,523.75,-1,cvat_keyframe
0,12,12,2,1.0,1190.49,451.02,1208.42,496.09,-1,cvat_keyframe
0,13,13,2,1.0,1146.44,548.85,1163.86,606.22,-1,cvat_keyframe
0,14,14,2,1.0,1277.57,524.78,1297.03,579.07,-1,cvat_keyframe
0,15,15,2,1.0,1325.72,561.14,1341.6,622.1,-1,cvat_keyframe
0,16,16,2,1.0,1830.24,549.88,1851.75,608.78,-1,cvat_keyframe
0,17,17,2,1.0,1302.67,516.58,1325.72,571.39,-1,cvat_keyframe
0,18,18,2,1.0,1312.4,415.17,1326.23,454.61,-1,cvat_keyframe
0,19,19,2,1.0,903.22,928.9,966.09,1031.46,-1,cvat_keyframe
0,20,20,3,1.0,299.88,415.46,318.88,448.46,-1,cvat_keyframe
0,21,21,3,1.0,734.92,572.74,757.18,635.23,-1,cvat_keyframe
0,22,22,1,1.0,1675.63,478.03,1692.83,525.31,-1,cvat_keyframe
0,24,24,0,1.0,1595.2,514.5,1603.41,522.2,-1,cvat_keyframe
1,0,0,2,1.0,442.73,717.82,479.75,799.72,-1,cvat_interp
1,1,1,2,1.0,685.05,617.56,717.12,685.73,-1,cvat_interp
1,2,2,2,1.0,622.1,591.21,654.8,656.73,-1,cvat_keyframe
1,3,3,2,1.0,355.08,577.35,382.23,645.66,-1,cvat_interp
1,4,4,2,1.0,508.6,531.95,539.48,587.27,-1,cvat_keyframe
1,5,5,2,1.0,436.52,482.78,458.73,530.92,-1,cvat_interp
1,6,6,2,1.0,499.35,432.24,516.95,474.24,-1,cvat_interp
1,7,7,2,1.0,746.41,427.12,760.76,467.38,-1,cvat_interp
1,8,8,2,1.0,775.07,523.84,805.75,580.81,-1,cvat_interp
